^[[?1034h
 logtype | timestamp                       | count
---------+---------------------------------+-------
   Error | 2018-11-14 10:49:22.000000+0000 |     4
   Error | 2018-11-14 10:50:22.000000+0000 |     4
   Error | 2018-11-14 10:51:22.000000+0000 |     3
   Error | 2018-11-14 10:52:22.000000+0000 |     7
   Error | 2018-11-14 10:53:22.000000+0000 |     3
   Error | 2018-11-14 10:54:22.000000+0000 |     9
   Error | 2018-11-14 10:55:22.000000+0000 |     2
   Error | 2018-11-14 10:56:22.000000+0000 |     3
   Error | 2018-11-14 10:57:22.000000+0000 |     1
   Error | 2018-11-14 10:58:22.000000+0000 |     5
   Error | 2018-11-14 10:59:22.000000+0000 |     2
   Error | 2018-11-14 11:00:22.000000+0000 |     2
    Warn | 2018-11-14 10:49:22.000000+0000 |     8
    Warn | 2018-11-14 10:50:22.000000+0000 |     1
    Warn | 2018-11-14 10:51:22.000000+0000 |     6
    Warn | 2018-11-14 10:52:22.000000+0000 |     5
    Warn | 2018-11-14 10:53:22.000000+0000 |     3
    Warn | 2018-11-14 10:54:22.000000+0000 |     4
    Warn | 2018-11-14 10:55:22.000000+0000 |     7
    Warn | 2018-11-14 10:56:22.000000+0000 |     7
    Warn | 2018-11-14 10:57:22.000000+0000 |     9
    Warn | 2018-11-14 10:58:22.000000+0000 |     1
    Warn | 2018-11-14 10:59:22.000000+0000 |     1
    Warn | 2018-11-14 11:00:22.000000+0000 |     3

(24 rows)
